BT,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11
100.0,4.84518994e-11,7.453508e-06,0.000101353068,0.0012338114699999999,0.00454479796,0.015718391,0.0417273249,0.10675635800000001
100.25,5.28819662e-11,7.8772995e-06,0.00010638301299999999,0.0012855402800000001,0.00471653581,0.016246097,0.042993668,0.10964511099999999
100.5,5.7692394999999996e-11,8.32293358e-06,0.00011163579100000001,0.00133916467,0.00489386055,0.0167887767,0.0442918782,0.11259714900000001
100.75,6.29136811e-11,8.79141535e-06,0.000117120028,0.00139474348,0.00507692256,0.017346771100000002,0.0456225772,0.11561349900000001
101.0,6.857858709999999e-11,9.2837903e-06,0.000122844637,0.00145233704,0.00526587534,0.0179204266,0.046986395199999996,0.118695195
101.25,7.4722298e-11,9.801145710000001e-06,0.00012881881600000002,0.00151200717,0.005460875529999999,0.0185100954,0.04838397,0.121843285
101.5,8.138258559999999e-11,1.0344612e-05,0.000135052065,0.0015738172,0.00566208297,0.0191161354,0.0498159478,0.125058824
101.75,8.85999834e-11,1.09153644e-05,0.000141554188,0.0016378320300000002,0.00586966076,0.0197389103,0.0512829829,0.128342875
102.0,9.6417972e-11,1.1514623999999999e-05,0.000148335301,0.0017041181100000001,0.00608377526,0.0203787894,0.052785738,0.131696515
102.25,1.04883176e-10,1.2143659599999998e-05,0.000155405841,0.00177274352,0.00630459615,0.0210361479,0.054324883600000005,0.135120826
102.5,1.14045572e-10,1.28037894e-05,0.000162776578,0.0018437779500000001,0.00653229649,0.0217113669,0.055901098899999994,0.138616903
102.75,1.23958712e-10,1.34963823e-05,0.00017045861400000003,0.00191729275,0.006767052740000001,0.0224048336,0.0575150711,0.142185848
103.0,1.34679954e-10,1.42228594e-05,0.000178463401,0.00199336098,0.007009044809999999,0.023116941000000002,0.0591674958,0.145828775
103.25,1.4627071499999998e-10,1.49846965e-05,0.00018680274399999997,0.00207205738,0.0072584560800000005,0.023848087999999996,0.0608590769,0.149546805
103.5,1.5879673100000002e-10,1.57834247e-05,0.000195488811,0.0021534584600000004,0.0075154735,0.0245986798,0.06259052679999999,0.153341071
103.75,1.72328336e-10,1.66206331e-05,0.000204534142,0.00223764249,0.00778028757,0.0253691276,0.0643625661,0.157212714
104.0,1.8694076100000002e-10,1.74979702e-05,0.00021395165700000002,0.00232468954,0.008053092409999999,0.0261598488,0.0661759239,0.161162884
104.25,2.0271443799999998e-10,1.8417145699999998e-05,0.00022375466899999998,0.0024146815100000002,0.008334085790000001,0.0269712668,0.06803133759999999,0.165192741
104.5,2.19735337e-10,1.93799328e-05,0.000233956888,0.0025077021600000003,0.00862346922,0.027803811600000002,0.0699295534,0.169303455
104.75,2.38095312e-10,2.03881697e-05,0.000244572432,0.00260383715,0.0089214479,0.028657919100000002,0.0718713257,0.173496204
105.0,2.57892472e-10,2.14437619e-05,0.00025561584,0.00270317404,0.009228230870000001,0.029534031699999998,0.0738574173,0.177772178
105.25,2.79231568e-10,2.2548684e-05,0.00026710207600000004,0.00280580235,0.009544030949999999,0.030432598199999997,0.0758885997,0.182132572
105.5,3.02224405e-10,2.3704982100000003e-05,0.000279046546,0.0029118135600000004,0.009869064870000001,0.0313540737,0.077965653,0.186578594
105.75,3.26990279e-10,2.49147759e-05,0.000291465099,0.0030213011800000003,0.0102035532,0.0322989198,0.0800893657,0.191111461
106.0,3.53656436e-10,2.6180260399999998e-05,0.00030437404699999997,0.00313436076,0.0105477207,0.0332676046,0.08226053480000001,0.195732396
106.25,3.82358552e-10,2.7503709100000002e-05,0.000317790168,0.00325108989,0.010901795700000001,0.034260602599999995,0.0844799661,0.200442635
106.5,4.1324125e-10,2.88874752e-05,0.000331730719,0.0033715882899999997,0.011266011000000001,0.0352783951,0.08674847390000001,0.205243421
106.75,4.46458634e-10,3.0333995e-05,0.000346213447,0.00349595779,0.0116406032,0.036321469700000004,0.08906688089999999,0.21013600699999999
107.0,4.82174862e-10,3.18457895e-05,0.00036125660000000005,0.0036243024,0.0120258132,0.0373903208,0.09143601890000001,0.215121654
107.25,5.20564739e-10,3.34254672e-05,0.00037687893700000003,0.00375672831,0.0124218859,0.038485449500000005,0.0938567278,0.220201633
107.5,5.61814355e-10,3.5075726700000006e-05,0.000393099741,0.0038933439399999998,0.0128290706,0.0396073636,0.0963298566,0.225377224
107.75,6.06121743e-10,3.67993591e-05,0.000409938827,0.004034259970000001,0.0132476207,0.040756577599999996,0.0988562626,0.230649715
108.0,6.536975849999999e-10,3.85992507e-05,0.00042741655599999996,0.00417958935,0.013677793899999999,0.0419336127,0.10143681199999999,0.236020404
108.25,7.047659450000001e-10,4.0478385600000004e-05,0.000445553846,0.0043294473799999995,0.0141198524,0.043138997199999994,0.104072379,0.241490597
108.5,7.59565046e-10,4.24398488e-05,0.000464372185,0.00448395167,0.0145740625,0.0443732659,0.10676384900000001,0.24706161100000001
108.75,8.18348087e-10,4.44868283e-05,0.000483893641,0.0046432222600000005,0.0150406951,0.0456369608,0.109512112,0.252734768
109.0,8.813841e-10,4.66226187e-05,0.000504140872,0.00480738157,0.0155200256,0.046930630599999995,0.112318069,0.258511402
109.25,9.489588529999999e-10,4.885062370000001e-05,0.000525137146,0.00497655449,0.0160123338,0.048254831100000006,0.115182631,0.264392853
109.5,1.0213758e-09,5.1174359000000004e-05,0.000546906345,0.00515086838,0.0165179039,0.0496101251,0.118106715,0.270380474
109.75,1.0989570800000001e-09,5.35974559e-05,0.000569472981,0.00533045312,0.0170370251,0.0509970821,0.121091249,0.276475621
110.0,1.18204456e-09,5.6123663700000006e-05,0.00059286221,0.00551544113,0.0175699907,0.0524162792,0.12413716699999999,0.282679663
110.25,1.27100093e-09,5.875685320000001e-05,0.0006170998440000001,0.00570596741,0.0181170992,0.053868300099999995,0.127245415,0.288993974
110.5,1.3662108800000002e-09,6.15010202e-05,0.000642212362,0.00590216959,0.0186786533,0.0553537358,0.130416946,0.295419941
110.75,1.46808229e-09,6.43602884e-05,0.000668226927,0.00610418792,0.0192549607,0.0568731846,0.133652721,0.301958954
111.0,1.57704752e-09,6.733891259999999e-05,0.000695171394,0.00631216534,0.019846334,0.0584272516,0.136953711,0.308612416
111.25,1.69356473e-09,7.04412828e-05,0.0007230743300000001,0.00652624751,0.0204530903,0.060016549599999997,0.140320894,0.315381736
111.5,1.8181193e-09,7.36719271e-05,0.000751965023,0.00674658282,0.0210755519,0.061641698099999996,0.14375526,0.32226833
111.75,1.95122527e-09,7.70355155e-05,0.000781873498,0.00697332246,0.021714045699999997,0.0633033242,0.147257804,0.32927362600000004
112.0,2.09342691e-09,8.05368636e-05,0.00081283053,0.0072066204000000005,0.0223689038,0.0650020622,0.150829531,0.33639905700000006
112.25,2.24530034e-09,8.4180936e-05,0.000844867658,0.0074466335,0.0230404632,0.0667385538,0.15447145699999998,0.343646065
112.5,2.4074551600000002e-09,8.79728504e-05,0.000878017202,0.007693521459999999,0.0237290657,0.0685134477,0.15818460199999998,0.35101609899999997
112.75,2.58053632e-09,9.191788129999999e-05,0.000912312272,0.00794744692,0.024435058500000002,0.0703274005,0.16197,0.358510619
113.0,2.76522587e-09,9.60214638e-05,0.0009477867879999999,0.008208575440000001,0.0251587937,0.07218107559999999,0.165828689,0.366131091
113.25,2.96224498e-09,0.000100289198,0.000984475495,0.008477075609999999,0.0259006286,0.07407514429999999,0.169761718,0.37387898700000005
113.5,3.17235595e-09,0.000104726852,0.00102241397,0.008753118979999999,0.026660925699999997,0.07601028509999999,0.173770145,0.38175579
113.75,3.3963643200000003e-09,0.000109340368,0.00106163865,0.00903688019,0.027440052599999997,0.07798718389999999,0.177855035,0.389762988
114.0,3.6351211299999996e-09,0.00011413586400000001,0.0011021868400000001,0.00932853694,0.0282383823,0.0800065343,0.182017464,0.39790208
114.25,3.88952519e-09,0.000119119641,0.00114409672,0.00962827006,0.0290562929,0.0820690371,0.18625851300000001,0.40617457
114.5,4.1605256e-09,0.000124298183,0.0011874073800000001,0.00993626354,0.029894168,0.0841754009,0.190579275,0.414581969
114.75,4.44912421e-09,0.000129678167,0.0012321588199999999,0.0102527045,0.030752396499999998,0.0863263417,0.19498085,0.42312579899999997
115.0,4.75637834e-09,0.000135266463,0.0012783919599999999,0.0105777834,0.031631372799999995,0.088522583,0.199464348,0.431807585
115.25,5.08340353e-09,0.00014107013999999999,0.0013261486999999999,0.010911693899999998,0.0325314964,0.0907648561,0.204030885,0.440628863
115.5,5.4313764299999995e-09,0.000147096473,0.00137547187,0.0112546328,0.0334531727,0.09305389970000001,0.208681587,0.449591174
115.75,5.80153787e-09,0.000153352943,0.0014264053,0.0116068005,0.0343968123,0.0953904602,0.213417589,0.45869606799999996
116.0,6.19519602e-09,0.00015984724599999998,0.0014789937900000002,0.0119684005,0.0353628316,0.0977752915,0.218240033,0.46794510100000003
116.25,6.61372965e-09,0.00016658729599999998,0.0015332832000000002,0.0123396398,0.0363516522,0.100209155,0.223150072,0.477339836
116.5,7.05859162e-09,0.000173581229,0.0015893203699999998,0.012720728899999999,0.0373637017,0.10269282099999999,0.228148865,0.486881844
116.75,7.53131247e-09,0.00018083741300000002,0.00164715322,0.013111881799999999,0.038399413199999996,0.105227065,0.23323758100000003,0.49657270200000003
117.0,8.03350419e-09,0.00018836444400000002,0.00170683073,0.0135133156,0.0394592255,0.10781267300000001,0.238417395,0.506413994
117.25,8.566864090000001e-09,0.000196171162,0.00176840294,0.0139252514,0.040543583,0.110450437,0.24368949399999998,0.516407313
117.5,9.133178909999999e-09,0.000204266649,0.0018319210100000002,0.014347913700000001,0.0416529359,0.11314115699999999,0.24905507,0.526554255
117.75,9.734329079999999e-09,0.000212660235,0.0018974372199999999,0.0147815306,0.0427877403,0.115885641,0.25451532600000004,0.536856426
118.0,1.03722932e-08,0.00022136150699999998,0.00196500497,0.015226333600000001,0.0439484581,0.118684704,0.26007147199999997,0.5473154370000001
118.25,1.10491524e-08,0.000230380311,0.00203467882,0.0156825583,0.0451355568,0.121539169,0.265724726,0.557932906
118.5,1.17670957e-08,0.00023972676,0.00210651449,0.0161504436,0.04634951019999999,0.124449869,0.271476315,0.568710457
118.75,1.25284244e-08,0.00024941123899999997,0.00218056891,0.0166302325,0.0475907975,0.127417641,0.27732747399999996,0.579649722
119.0,1.33355577e-08,0.00025944441,0.0022569001999999997,0.0171221714,0.0488599044,0.130443332,0.283279445,0.5907523370000001
119.25,1.4191038e-08,0.000269837218,0.00233556771,0.017626510800000002,0.0501573221,0.133527797,0.289333481,0.602019946
119.5,1.50975366e-08,0.000280600899,0.00241663203,0.0181435049,0.0514835481,0.136671898,0.295490841,0.613454199
119.75,1.60578595e-08,0.000291746985,0.00250015503,0.0186734117,0.0528390858,0.139876505,0.301752793,0.625056752
120.0,1.70749536e-08,0.000303287306,0.00258619985,0.0192164933,0.0542244447,0.143142496,0.308120611,0.636829267
120.25,1.81519131e-08,0.000315234006,0.0026748309200000002,0.0197730156,0.0556401404,0.146470756,0.31459558,0.648773411
120.5,1.92919859e-08,0.000327599538,0.00276611401,0.0203432484,0.057086694699999996,0.149862179,0.321178993,0.66089086
120.75,2.0498581e-08,0.000340396678,0.0028601162199999998,0.0209274658,0.0585646355,0.153317667,0.327872147,0.673183292
121.0,2.1775275e-08,0.00035363853000000003,0.0029569060100000004,0.021525945499999997,0.0600744967,0.15683812800000002,0.334676352,0.6856523929999999
121.25,2.31258199e-08,0.000367338531,0.00305655322,0.0221389697,0.0616168187,0.160424479,0.341592923,0.698299855
121.5,2.45541509e-08,0.00038151046,0.0031591290899999997,0.0227668245,0.063192148,0.164077645,0.348623184,0.711127375
121.75,2.60643943e-08,0.00039616844,0.00326470627,0.0234098001,0.0648010374,0.16779856,0.355768466,0.724136654
122.0,2.76608757e-08,0.000411326953,0.0033733588700000003,0.024068190899999998,0.0664440459,0.171588162,0.36303010799999996,0.7373294020000001
122.25,2.9348129e-08,0.00042700084000000003,0.0034851624299999996,0.024742295600000002,0.068121739,0.175447401,0.37040945799999997,0.750707331
122.5,3.1130905e-08,0.00044320530899999997,0.0036001939899999997,0.0254324171,0.06983468849999999,0.179377233,0.37790787,0.76427216
122.75,3.30141812e-08,0.00045995594599999997,0.0037185320799999998,0.0261388624,0.0715834723,0.18337862100000002,0.385526706,0.778025614
123.0,3.50031709e-08,0.000477268719,0.00384025675,0.0268619431,0.0733686752,0.187452538,0.39326733799999997,0.7919694209999999
123.25,3.71033339e-08,0.000495159986,0.0039654496000000004,0.027601974900000003,0.0751908879,0.19159996399999998,0.40113114299999997,0.8061053159999999
123.5,3.93203862e-08,0.000513646504,0.00409419379,0.028359277999999998,0.0770507079,0.19582188399999997,0.409119506,0.820435038
123.75,4.16603117e-08,0.000532745432,0.00422657404,0.0291341769,0.078948739,0.200119296,0.41723382,0.8349603320000001
124.0,4.41293724e-08,0.000552474345,0.00436267669,0.0299270005,0.0808855917,0.20449320199999999,0.425475486,0.8496829459999999
124.25,4.67341209e-08,0.000572851237,0.00450258972,0.030738082400000002,0.0828618827,0.20894461399999997,0.43384591299999997,0.8646046359999999
124.5,4.94814119e-08,0.000593894532,0.00464640273,0.0315677605,0.08487823550000001,0.21347454899999999,0.44234651399999997,0.8797271590000001
124.75,5.23784149e-08,0.000615623087,0.004794207,0.0324163771,0.08693528,0.21808403399999998,0.450978713,0.8950522790000001
125.0,5.54326273e-08,0.000638056208,0.00494609549,0.0332842794,0.0890336529,0.22277410399999997,0.459743941,0.910581764
125.25,5.86518874e-08,0.000661213649,0.0051021628799999994,0.034171819,0.0911739973,0.22754580100000002,0.468643634,0.9263173859999999
125.5,6.20443886e-08,0.000685115629,0.005262505579999999,0.0350793521,0.093356963,0.232400175,0.47767923700000003,0.942260923
125.75,6.56186936e-08,0.000709782831,0.00542722174,0.0360072395,0.0955832065,0.23733828399999998,0.486852203,0.9584141559999999
126.0,6.93837495e-08,0.0007352364200000001,0.00559641131,0.0369558469,0.0978533908,0.242361193,0.49616399,0.97477887
126.25,7.33489031e-08,0.0007614980439999999,0.00577017601,0.0379255444,0.10016818599999999,0.247469975,0.505616065,0.991356855
126.5,7.75239167e-08,0.000788589847,0.0059486194,0.0389167073,0.102528268,0.252665711,0.515209901,1.00814991
126.75,8.19189848e-08,0.000816534476,0.006131846870000001,0.0399297152,0.104934321,0.25794949100000003,0.524946977,1.02515982
127.0,8.65447513e-08,0.0008453550900000001,0.006319965679999999,0.0409649527,0.107387034,0.26332241,0.5348287829999999,1.04238839
127.25,9.14123268e-08,0.000875075368,0.006513084969999999,0.0420228093,0.109887104,0.268785573,0.544856811,1.05983744
127.5,9.65333072e-08,0.000905719519,0.006711315799999999,0.043103679400000004,0.112435235,0.274340091,0.5550325629999999,1.07750877
127.75,1.0191979199999999e-07,0.000937312294,0.0069147711599999995,0.044207962,0.115032136,0.279987085,0.565357546,1.09540419
128.0,1.07584406e-07,0.000969878987,0.00712356598,0.0453360613,0.11767852599999999,0.285727681,0.575833276,1.11352552
128.25,1.1354031599999999e-07,0.0010034454499999999,0.007337817170000001,0.0464883864,0.12037512800000001,0.291563014,0.586461275,1.13187458
128.5,1.1980125300000002e-07,0.00103803812,0.007557643659999999,0.0476653513,0.123122673,0.297494227,0.597243069,1.1504532
128.75,1.2638153700000001e-07,0.00107368397,0.0077831663799999996,0.0488673751,0.125921899,0.30352247,0.608180194,1.16926319
129.0,1.33296094e-07,0.0011104106,0.00801450831,0.050094881900000006,0.12877355,0.3096489,0.619274192,1.1883064
129.25,1.40560484e-07,0.00114824618,0.008251794509999999,0.0513483008,0.13167837699999999,0.31587468399999996,0.63052661,1.20758466
129.5,1.48190919e-07,0.0011872195,0.00849515211,0.052628066200000004,0.13463713900000002,0.322200993,0.641939002,1.2270998
129.75,1.5620429500000002e-07,0.00122735996,0.00874471038,0.0539346173,0.13765060099999998,0.32862900899999997,0.653512931,1.24685366
130.0,1.6461821e-07,0.00126869759,0.00900060072,0.0552683988,0.140719536,0.33515992,0.665249961,1.26684809
130.25,1.73450995e-07,0.0013112630300000001,0.009262956670000001,0.05662986019999999,0.14384472199999998,0.34179492,0.677151669,1.28708493
130.5,1.82721741e-07,0.00135508761,0.009531913990000002,0.0580194567,0.147026945,0.348535214,0.689219632,1.30756604
130.75,1.9245032199999998e-07,0.00140020328,0.00980761062,0.0594376481,0.150266999,0.355382011,0.701455437,1.32829325
131.0,2.0265743e-07,0.0014466426600000001,0.010090186800000001,0.0608849001,0.153565684,0.36233652899999996,0.7138606759999999,1.34926844
131.25,2.1336460100000004e-07,0.00149443906,0.0103797848,0.062361683099999995,0.156923806,0.369399995,0.7264369479999999,1.37049346
131.5,2.24594247e-07,0.0015436264800000002,0.0106765496,0.0638684734,0.160342179,0.37657364,0.7391858570000001,1.39197016
131.75,2.3636968600000002e-07,0.0015942395999999999,0.010980628000000001,0.065405752,0.163821625,0.383858706,0.7521090140000001,1.4137004
132.0,2.48715177e-07,0.00164631382,0.0112921694,0.0669740058,0.167362972,0.391256439,0.765208034,1.43568606
132.25,2.61655952e-07,0.00169988525,0.0116113256,0.0685737269,0.17096705399999998,0.398768095,0.778484539,1.457929
132.5,2.7521825099999995e-07,0.0017549907500000001,0.0119382505,0.0702054126,0.174634713,0.406394935,0.791940159,1.48043109
132.75,2.89429357e-07,0.0018116679000000002,0.0122731008,0.0718695659,0.178366799,0.41413823,0.805576526,1.5031942
